team,video_id,title,published,views,likes,comments,duration_minutes,subscribers
Carolina Hurricanes,944ykoqcxsU,Washington Capitals at Carolina Hurricanes | Game Highlights | 5.10.25,2025-05-11T01:19:27Z,4446,181,44,5.03,23000
Carolina Hurricanes,nWcte6K1awE,Carolina Hurricanes at Washington Capitals | Game Highlights | 5.8.25,2025-05-09T02:02:05Z,579,16,29,5.07,23000
Carolina Hurricanes,5IEXbVwXDu8,Cinematic Recap: Game 1 vs. Washington,2025-05-08T00:25:10Z,1530,131,13,1.78,23000
Carolina Hurricanes,_VMEDKV86rU,Carolina Hurricanes at Washington Capitals | Game Highlights | 5.6.25,2025-05-07T13:20:03Z,2561,90,13,5.03,23000
Dallas Stars,s61pTruQ5Q0,The Quest for Immortality 2025: The Dallas Stars Playoffs Round 2 Game 3,2025-05-11T16:40:06Z,1893,117,13,1.15,35600
Dallas Stars,1W_pvboTWVo,Enterprise: Mother's Day,2025-05-11T16:01:23Z,527,63,1,0.42,35600
Dallas Stars,lVLbT0avSuo,The Quest for Immortality 2025: The Dallas Stars Playoffs Round 2 Game 2,2025-05-09T19:50:26Z,3691,152,29,1.67,35600
Dallas Stars,hHldW2NNB2c,MOOSE RECAP - Stars beat Jets in Game 1 of Second Round - Rantanen Hat Trick,2025-05-08T19:24:16Z,12950,306,41,1.93,35600
Dallas Stars,frtLglC3Okc,The Quest for Immortality 2025: The Dallas Stars Playoffs Round 2 Game 1,2025-05-07T15:52:07Z,7523,316,48,2.22,35600
Dallas Stars,BkmWPLiEXdY,Josh and Razor Call Game 7 Win Over Colorado Avalanche,2025-05-05T16:19:10Z,35454,1179,113,1.97,35600
Dallas Stars,OHAyG5SoAvA,Dallas Stars beat Colorado Avalanche in Game 7 of First Round of 2025 NHL Stanley Cup Playoffs,2025-05-05T00:40:14Z,2348,117,11,1.98,35600
Dallas Stars,TfKehRCpbyk,Jake Oettinger First Round Saves vs Avalanche 2025 NHL Stanley Cup Playoffs,2025-05-05T00:10:22Z,586,37,5,2.0,35600
Edmonton Oilers,ErLmW5aLDRc,ANALYSIS | Pulse Check 05.11.25,2025-05-11T20:56:34Z,11315,174,48,7.68,95500
Edmonton Oilers,hcTVshlvoEA,RAW | Kris Knoblauch 05.11.25,2025-05-11T18:26:43Z,12821,206,195,7.9,95500
Edmonton Oilers,l2pUEX_HoFk,RAW | Darnell Nurse 05.11.25,2025-05-11T18:03:10Z,4065,82,34,5.78,95500
Edmonton Oilers,NgvmhfSbvbo,RAW | Zach Hyman 05.11.25,2025-05-11T18:00:27Z,6855,127,38,6.25,95500
Edmonton Oilers,VoG28eqOy34,OILERS TODAY | Post-Game 3 vs VGK 05.10.25,2025-05-11T05:59:13Z,3626,55,49,3.58,95500
Edmonton Oilers,8XwZ0jmRlQM,OTHER SIDE | Bruce Cassidy 05.10.25,2025-05-11T04:56:20Z,2748,25,9,9.23,95500
Edmonton Oilers,EWWwQM6soKs,"OTHER SIDE | William Karlsson, Reilly Smith 05.10.25",2025-05-11T04:40:53Z,1767,20,18,6.53,95500
Edmonton Oilers,QB54typTpwc,POST-RAW | Kris Knoblauch 05.10.25,2025-05-11T04:24:07Z,13819,179,201,5.4,95500
Edmonton Oilers,UE1tABMWYi0,HIGHLIGHTS | Oilers vs. Golden Knights Game 3 05.10.25,2025-05-11T04:23:58Z,479,7,7,8.4,95500
Edmonton Oilers,2YDjLj6mFRI,POST-RAW | Leon Draisaitl 05.10.25,2025-05-11T04:15:01Z,23022,185,189,2.27,95500
Edmonton Oilers,FkP0lAwLD6k,POST-RAW | Stuart Skinner 05.10.25,2025-05-11T04:04:55Z,11153,159,447,4.52,95500
Edmonton Oilers,BZOQYLZq_B4,POST-RAW | Corey Perry 05.10.25,2025-05-11T03:57:57Z,5673,96,90,2.1,95500
Edmonton Oilers,kp3rAgqiqQ0,PLAYOFF PASS 25 | Round 2 Game 2 Trailer,2025-05-10T21:15:44Z,3769,151,8,0.43,95500
Edmonton Oilers,2uFL0UlBCoc,PLAYOFF PASS 25 | Round 2 Game 2 Trailer,2025-05-10T21:15:17Z,392,18,1,0.43,95500
Edmonton Oilers,W4GJOztWTRY,OILERS TODAY | Pre-Game 3 vs VGK 05.10.25,2025-05-10T20:09:01Z,7707,120,73,2.78,95500
Edmonton Oilers,yBaPAKKUv2w,PRE-RAW | Kris Knoblauch 05.10.25,2025-05-10T17:17:01Z,12881,239,132,3.97,95500
Edmonton Oilers,qbutl7tbXLE,PRE-RAW | Trent Frederic 05.10.25,2025-05-10T17:13:53Z,7938,203,32,2.58,95500
Edmonton Oilers,i8SbAmr0-E4,PRE-RAW | Evander Kane 05.10.25,2025-05-10T17:13:37Z,9816,222,47,2.78,95500
Edmonton Oilers,a8sZxQRa-YA,PRE-RAW | Stuart Skinner 05.10.25,2025-05-10T16:58:20Z,15509,348,266,2.38,95500
Edmonton Oilers,qknDquqIeXo,RAW | Kris Knoblauch 05.09.25,2025-05-09T16:27:28Z,10927,194,46,4.97,95500
Edmonton Oilers,6NaD7NUqLMc,OILERS TODAY | Post-Game 2 at VGK 05.08.25,2025-05-09T07:19:52Z,6046,112,13,2.78,95500
Edmonton Oilers,lz1yVeUTjsk,POST-RAW | Kris Knoblauch 05.08.25,2025-05-09T06:13:21Z,15458,266,33,4.6,95500
